Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Anoula,1,1,51,4953666,231226,30.59%,Mercguards,Afternoon Goon Sesh,loss,yes,1,1,HEALS,Wilmeister,1,1,56,5315105,382604,31.67%
2,3,QDPS,Buster,7,3,66,0,2281816,42.94%,,,,,2,3,QDPS,BeanyBaby,8,0,91,0,2339476,55.00%
3,4,QDPS,x Statpad,3,0,98,0,1863768,59.41%,,,,,3,3,QDPS,Saoibhe,6,3,76,0,1826988,45.56%
4,6,QDPS,Only Bruiser,6,2,80,0,1714610,50.59%,,,,,4,4,BRUISER,Xedalis,5,1,68,0,1799006,40.56%
5,2,QDPS,Velkhana'sSummer,3,5,59,0,1714317,36.47%,,,,,5,7,FS/X,Dynodoug,6,3,49,0,1553289,30.56%
6,2,BRUISER,Injury,8,4,69,808,1580949,45.29%,,,,,6,8,FS/X,Fresh Start,5,5,61,0,1532562,36.67%
7,8,FS/X,DJswimpyMan,10,5,68,0,1565165,45.88%,,,,,7,6,BRUISER,Dutch Hammer,5,5,56,0,1441845,33.89%
8,3,BRUISER,Bar God,1,3,65,1682,1486117,38.82%,,,,,8,4,BRUISER,I miss bed,3,2,80,0,1432073,46.11%
9,3,BRUISER,8InchesNFloppy,3,4,56,0,1463575,34.71%,,,,,9,6,QDPS,Succulent,8,0,47,0,1362928,30.56%
10,4,BRUISER,Sweezy,3,2,76,1327,1354709,46.47%,,,,,10,5,QDPS,Zercules,7,2,57,0,1347297,35.56%
11,6,BRUISER,Grassy,6,3,80,265,1295856,50.59%,,,,,11,5,QDPS,SoFreshSonu,11,0,67,0,1434235,43.33%
12,9,DISRUPTOR,Scorpion Diff,11,4,52,0,1259285,37.06%,,,,,12,1,BRUISER,ConsoleBowFan,4,6,73,0,1245822,42.78%
13,1,BRUISER,Derrick Rose,2,3,67,925,1232840,40.59%,,,,,13,6,BRUISER,OhMyGourd,2,3,78,0,1243118,44.44%
14,2,BRUISER,Who Mite Dat Be,2,5,64,233,1170221,38.82%,,,,,14,4,HEALS,Amelia Starr,0,1,45,2270082,97569,25.00%
15,5,BRUISER,Psalm 11,0,4,36,0,1148201,21.18%,,,,,15,1,BRUISER,Segsihan Namja,4,5,70,0,1195392,41.11%
16,5,QDPS,Pressure,8,2,55,5271,1069823,37.06%,,,,,16,5,BRUISER,Grav N Spins,5,3,88,0,1164636,51.67%
17,3,HEALS,AllMadd52,0,1,39,1899408,92317,22.94%,,,,,17,3,BRUISER,jno,7,6,75,0,1158298,45.56%
18,4,HEALS,Ex2c,0,0,44,1881789,92457,25.88%,,,,,18,4,QDPS,Adam Guns Upp,6,1,45,0,1115919,28.33%
19,1,QDPS,xBooGeY,7,7,44,0,1015553,30.00%,,,,,19,2,BRUISER,Wiggles,7,4,68,0,1062328,41.67%
20,2,HEALS,dead weight,0,1,42,1836604,78773,24.71%,,,,,20,2,BRUISER,Nizzo,3,1,87,0,1054198,50.00%
21,9,QDPS,Kheer is my son,5,0,57,0,1004661,36.47%,,,,,21,3,BRUISER,Tucker,4,2,92,0,1078025,53.33%
22,6,BRUISER,TheActualBobRoss,3,7,56,4674,958526,34.71%,,,,,22,5,BRUISER,latina enjoyer,6,4,82,0,1028586,48.89%
23,7,DISRUPTOR,Jayce Jackson,14,3,38,12360,927250,30.59%,,,,,23,10,DEX,GUAO,10,5,40,0,1024727,27.78%
24,8,HEALS,Bweezin,0,2,26,1853909,31633,15.29%,,,,,24,6,QDPS,Zuv,0,2,36,0,999424,20.00%
25,4,BRUISER,Shield Rush,2,5,55,2316,884170,33.53%,,,,,25,8,HEALS,Hazy,0,0,30,1893352,23095,16.67%
26,5,BRUISER,SilverElement1,4,9,26,214,882616,17.65%,,,,,26,4,VG/IG,FreezingMyAzoth,4,3,92,15696,911853,53.33%
27,6,VG/IG,Not Beau Nerrs,2,7,53,13075,876561,32.35%,,,,,27,9,HEALS,VixKo,0,2,20,1805962,20499,11.11%
28,8,DISRUPTOR,Zoob,4,7,60,20061,778749,37.65%,,,,,28,10,DISRUPTOR,Sunberg,6,3,38,0,834131,24.44%
29,5,HEALS,TheFrontLine,0,2,26,1523436,36228,15.29%,,,,,29,5,HEALS,Yung Noodle,0,2,50,1406582,110960,27.78%
30,10,DEX,Popasus,10,1,44,0,751989,31.76%,,,,,30,9,DISRUPTOR,Smoothee..Jr,10,5,42,0,771405,28.89%
31,10,DISRUPTOR,OfSeamlezz,6,7,42,994,759272,28.24%,,,,,31,3,HEALS,BadAtThis,0,0,53,1493771,26561,29.44%
32,10,DISRUPTOR,Ionbuster,5,4,28,0,760326,19.41%,,,,,32,1,HEALS,On Me Here,0,2,42,1443784,36051,23.33%
33,7,DISRUPTOR,beta,8,4,39,0,728259,27.65%,,,,,33,9,VG/IG,Ser Douglas,4,6,44,6013,702816,26.67%
34,4,VG/IG,VG IG,2,5,68,14695,717534,41.18%,,,,,34,8,DISRUPTOR,Sub0,7,3,60,0,694457,37.22%
35,6,HEALS,Ellwing,0,4,29,1394789,46756,17.06%,,,,,35,7,DISRUPTOR,4thTimeForSure,4,6,35,0,697716,21.67%
36,7,DISRUPTOR,Feoff,3,3,41,15111,711789,25.88%,,,,,36,10,DISRUPTOR,xRhaego,8,7,27,0,680739,19.44%
37,9,DISRUPTOR,Killa Farmer,3,4,49,11170,695829,30.59%,,,,,37,9,DISRUPTOR,Drex,1,8,44,0,718490,25.00%
38,7,HEALS,NickyUwU,0,3,12,1373981,5164,7.06%,,,,,38,6,HEALS,pegame,0,5,35,1242509,27755,19.44%
39,5,HEALS,ImpactVolts,0,1,25,1274241,23739,14.71%,,,,,39,2,HEALS,cyy,0,3,54,1084864,82905,30.00%
40,10,DISRUPTOR,Aldrak,6,7,25,0,642264,18.24%,,,,,40,7,DISRUPTOR,rizzing,3,5,26,0,621358,16.11%
41,1,HEALS,Plucky,0,2,36,1227474,31786,21.18%,,,,,41,8,VG/IG,Jitch4,4,6,81,14494,582155,47.22%
42,8,VG/IG,Anom4ly,2,2,76,21630,586908,45.88%,,,,,42,6,HEALS,Steakfarms,0,2,16,1154985,8587,8.89%
43,9,HEALS,x stats,0,4,27,1180308,26127,15.88%,,,,,43,10,DISRUPTOR,Don't Peel 4 Me,4,5,25,2833,497699,16.11%
44,3,VG/IG,Towfuu,2,5,56,20592,541417,34.12%,,,,,44,7,HEALS,Reksie,0,3,13,991928,5270,7.22%
45,9,DISRUPTOR,Luna-TerraLulu,3,6,55,0,541158,34.12%,,,,,45,1,FLAIL,Hadessss,0,4,75,77810,419277,41.67%
46,2,FLAIL,Cali Mae,0,1,63,130214,464114,37.06%,,,,,46,7,VG/IG,Ninja66,0,5,50,2248,401354,27.78%
47,10,HEALS,Im His Guac,1,6,12,1019048,33728,7.65%,,,,,47,8,DISRUPTOR,UR NOT MY MOM,1,6,55,0,356097,31.11%
48,7,VG/IG,Dynastinae,0,3,68,7084,451764,40.00%,,,,,48,10,HEALS,Doc Mommy,0,6,8,706741,22176,4.44%
