Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,2,0,80,6399188,277707,27.52%,Mercguards,Ayo,win,yes
2,3,QDPS,VartasPadded,8,7,97,0,2204257,35.23%,,,,
3,6,QDPS,Velkhana'sSummer,15,2,121,0,2114343,45.64%,,,,
4,3,BRUISER,Bar God,7,4,127,0,2051667,44.97%,,,,
5,8,FS/X,DjSwimpyMan,14,0,145,0,1867044,53.36%,,,,
6,8,VG/IG,Anom4ly,10,1,127,0,1878526,45.97%,,,,
7,2,BRUISER,Psalm 11,11,2,140,0,1815411,50.67%,,,,
8,3,BRUISER,8InchesNFloppy,7,5,123,0,1821723,43.62%,,,,
9,4,QDPS,Tyreeek,16,1,138,0,1783421,51.68%,,,,
10,1,BRUISER,TheActualBobRoss,5,0,149,0,1612709,51.68%,,,,
11,5,BRUISER,Moneyyyyy,2,4,122,0,1567489,41.61%,,,,
12,5,QDPS,mommi,7,5,61,0,1575910,22.82%,,,,
13,6,BRUISER,Shield Rush,9,1,136,0,1497524,48.66%,,,,
14,3,HEALS,unit 00,0,4,98,2583783,139869,32.89%,,,,
15,4,BRUISER,GMANG,7,7,109,0,1391960,38.93%,,,,
16,2,QDPS,Kheer is my son,15,2,91,0,1399516,35.57%,,,,
17,3,QDPS,Papi Fuego,11,3,74,0,1357065,28.52%,,,,
18,4,BRUISER,Kryee,9,1,143,0,1273441,51.01%,,,,
19,2,BRUISER,Yo Nature,10,4,119,0,1279448,43.29%,,,,
20,6,BRUISER,Hatttori,14,3,110,0,1407860,41.61%,,,,
21,8,DISRUPTOR,Zoob,16,3,101,18139,1263871,39.26%,,,,
22,10,DEX,Ariii,12,1,49,0,1248798,20.47%,,,,
23,7,DISRUPTOR,Imagine Dragons,11,3,69,0,1240203,26.85%,,,,
24,5,HEALS,EnchantingFlame,0,1,66,2459111,36175,22.15%,,,,
25,2,HEALS,AllMadd52,0,0,89,2207596,110421,29.87%,,,,
26,5,BRUISER,SodaC4nSam,6,5,115,0,1183782,40.60%,,,,
27,7,HEALS,dead weight,1,1,47,2102692,98503,16.11%,,,,
28,9,HEALS,x stats,0,4,21,2146827,37408,7.05%,,,,
29,10,DEX,Popasus,16,2,37,0,1035456,17.79%,,,,
30,10,DISRUPTOR,Aldrak,8,5,36,0,1036749,14.77%,,,,
31,7,DISRUPTOR,whayousayy,7,3,67,0,942584,24.83%,,,,
32,4,HEALS,RosePetals,0,1,61,1804152,60041,20.47%,,,,
33,7,VG/IG,Dynastinae,4,5,91,10657,925569,31.88%,,,,
34,8,HEALS,Melokore,0,2,41,1883675,21364,13.76%,,,,
35,1,HEALS,Panda212,0,0,67,1728280,65196,22.48%,,,,
36,5,VG/IG,Owndit,2,4,125,7540,898838,42.62%,,,,
37,10,HEALS,Im His Guac,0,1,26,1806918,35863,8.72%,,,,
38,6,VG/IG,Not Beau Nerrs,3,2,83,3463,888644,28.86%,,,,
39,9,DISRUPTOR,Luna-TerraLulu,5,9,40,0,878571,15.10%,,,,
40,6,HEALS,NickyUwU,0,2,67,1587584,59938,22.48%,,,,
41,1,HEALS,Dimothy,2,2,132,573541,512614,44.97%,,,,
42,7,DISRUPTOR,Pocahontts,6,2,65,0,767536,23.83%,,,,
43,10,DISRUPTOR,OfSeamlezz,5,3,43,0,764823,16.11%,,,,
44,9,DISRUPTOR,Retired Arc,4,3,53,259,698587,19.13%,,,,
45,4,VG/IG,Faye Tal,1,0,141,24353,628901,47.65%,,,,
46,8,DISRUPTOR,KeepYourselfSafe,5,3,83,0,610949,29.53%,,,,
47,2,HEALS,BlessYourHeart,0,0,44,968159,56461,14.77%,,,,
48,9,DEX,Animull,4,11,35,19036,505194,13.09%,,,,
49,9,DISRUPTOR,NotTali,1,6,58,0,414733,19.80%,,,,
50,1,TANK,CP Money,0,1,149,0,289488,50.00%,,,,
