Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,1,86,5597753,311783,24.64%,Mercguards,Ayo,win,yes
2,3,QDPS,Velkhana'sSummer,18,4,153,0,2469139,49.00%,,,,
3,8,FS/X,DjSwimpyMan,7,1,156,0,2027689,46.70%,,,,
4,4,QDPS,TyreektheGOD,15,2,151,0,1890395,47.56%,,,,
5,3,QDPS,Pepega69,17,2,146,0,1777573,46.70%,,,,
6,1,BRUISER,Me99999,13,4,111,0,1850392,35.53%,,,,
7,3,BRUISER,Psalm 11,8,3,132,0,1723858,40.11%,,,,
8,5,QDPS,eeEkong,29,5,97,0,1559841,36.10%,,,,
9,5,QDPS,TaintyApe,5,3,125,0,1549922,37.25%,,,,
10,4,BRUISER,Shield Rush,13,1,145,0,1339487,45.27%,,,,
11,6,QDPS,mommi,8,2,81,0,1434177,25.50%,,,,
12,3,BRUISER,TheActualBobRoss,7,6,95,0,1370623,29.23%,,,,
13,2,QDPS,Kheer is my son,15,1,103,0,1332091,33.81%,,,,
14,5,BRUISER,Hahhtorii,9,4,143,0,1338846,43.55%,,,,
15,6,BRUISER,GMANG,6,2,168,0,1278213,49.86%,,,,
16,1,BRUISER,ASMR MELEE,7,3,142,0,1268214,42.69%,,,,
17,2,QDPS,Draconicx,7,5,82,0,1344198,25.50%,,,,
18,2,BRUISER,SodaC4nSam,7,3,135,0,1197718,40.69%,,,,
19,2,BRUISER,Moneyyyyy,5,7,105,0,1212586,31.52%,,,,
20,5,BRUISER,Retired Arc,7,4,119,0,1183336,36.10%,,,,
21,10,DEX,Popasus,15,0,90,0,1104949,30.09%,,,,
22,1,HEALS,Ex2c,1,1,65,1943236,110312,18.91%,,,,
23,9,DEX,LeFayPendragon,12,1,91,0,1041410,29.51%,,,,
24,4,BRUISER,Bolrym,5,3,137,0,1025709,40.69%,,,,
25,7,DISRUPTOR,whayousayy,3,6,75,0,1053826,22.35%,,,,
26,6,VG/IG,fml,12,2,69,4593,1241022,23.21%,,,,
27,8,HEALS,Bweezin,1,0,59,1943590,46026,17.19%,,,,
28,3,HEALS,TheFrontLine,0,3,62,1903651,49325,17.77%,,,,
29,6,BRUISER,Yo Nature,6,5,135,0,947407,40.40%,,,,
30,9,DISRUPTOR,Stun Bot,19,2,105,21456,914939,35.53%,,,,
31,10,DISRUPTOR,Aldrak,10,2,83,0,1029589,26.65%,,,,
32,5,HEALS,Melokore,0,1,71,1855797,37481,20.34%,,,,
33,4,HEALS,RosePetals,1,2,61,1774083,63246,17.77%,,,,
34,9,HEALS,x stats,0,2,55,1799306,43918,15.76%,,,,
35,10,HEALS,Im His Guac,0,0,36,1854342,30114,10.32%,,,,
36,10,DISRUPTOR,Ionbuster,6,2,98,0,892185,29.80%,,,,
37,10,DISRUPTOR,OfSeamlezz,13,4,96,0,851292,31.23%,,,,
38,6,HEALS,Colby Jr.,0,3,82,1369067,128934,23.50%,,,,
39,8,DISRUPTOR,Zoob,14,5,78,21439,757959,26.36%,,,,
40,9,DISRUPTOR,Luna-TerraLulu,6,4,87,0,793327,26.65%,,,,
41,7,DISRUPTOR,PocketJacks,2,7,78,9952,752440,22.92%,,,,
42,2,HEALS,Plucky,0,2,79,1353824,66171,22.64%,,,,
43,7,DISRUPTOR,Animull,2,4,82,20489,717650,24.07%,,,,
44,7,VG/IG,Not Beau Nerrs,3,6,111,14628,693287,32.66%,,,,
45,4,DISRUPTOR,Lady Miso,2,5,119,0,662809,34.67%,,,,
46,8,VG/IG,Briizyn,2,6,115,35250,557351,33.52%,,,,
47,7,HEALS,Ramparts,1,3,63,1062426,64005,18.34%,,,,
48,9,FLAIL,NotTali,4,3,96,23879,438771,28.65%,,,,
49,1,TANK,CP Money,2,0,179,0,311989,51.86%,,,,
50,9,DISRUPTOR,TheAwesomest,4,9,59,0,365483,18.05%,,,,
