Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,,HEALS,Anoula,0,0,3,536314,0,6.98%,Ayoo,Mercguards,win,no
2,,DEX,xAlfredoSaucinx,1,0,9,0,73532,23.26%,,,,
3,,FS/X,ZaddySimpy,3,0,6,0,61219,20.93%,,,,
4,,FS/X,Papi Fuego,0,0,12,0,48074,27.91%,,,,
5,,HEALS,RosePetals,0,0,6,97043,748,13.95%,,,,
6,,HEALS,Panda212,0,0,5,98157,616,11.63%,,,,
7,,VG/IG,Kryee,1,0,2,0,46645,6.98%,,,,
8,,QDPS,Fe7on,0,0,4,0,41908,9.30%,,,,
9,,BRUISER,Castle of ill,3,0,10,0,27156,30.23%,,,,
10,,BRUISER,TheActualBobRoss,1,0,15,0,27716,37.21%,,,,
11,,VG/IG,Joshua Block,1,0,8,9138,26009,20.93%,,,,
12,,QDPS,Primey1,0,0,6,0,32035,13.95%,,,,
13,,BRUISER,Yo Nature,2,0,7,0,19886,20.93%,,,,
14,,HEALS,TheFrontLine,0,0,3,53296,0,6.98%,,,,
15,,FS/X,TaintyApe,0,0,2,0,25688,4.65%,,,,
16,,HEALS,EnchantingFlame,0,0,4,47827,0,9.30%,,,,
17,,BRUISER,SmileyBill,1,0,9,0,18384,23.26%,,,,
18,,HEALS,Plucky,0,0,6,41722,1146,13.95%,,,,
19,,DISRUPTOR,Helga Longbottom,1,0,12,1747,11733,30.23%,,,,
20,,DISRUPTOR,TheAwesomest,1,0,8,0,15985,20.93%,,,,
21,,DISRUPTOR,Animull,1,0,2,6520,15708,6.98%,,,,
22,,VG/IG,dont stop,0,0,9,17792,8173,20.93%,,,,
23,,DISRUPTOR,Luna-TerraLulu,0,0,7,0,17926,16.28%,,,,
24,,BRUISER,Raxios,0,0,11,0,46236,25.58%,,,,
25,,BRUISER,Hahttorii,1,0,11,0,11269,27.91%,,,,
26,,DEX,Ariii,0,0,3,0,17343,6.98%,,,,
27,,BRUISER,IsThatBeauNerrs,0,0,6,0,50563,13.95%,,,,
28,,DISRUPTOR,bunny,0,0,2,0,16424,4.65%,,,,
29,,,Conval,1,0,9,0,8078,23.26%,,,,
30,,VG/IG,Dynastinae,1,0,6,306,8499,16.28%,,,,
31,,BRUISER,Psyduck Nationx,0,0,8,0,8099,18.60%,,,,
32,,FLAIL,Me99999,0,0,9,0,7449,20.93%,,,,
33,,DISRUPTOR,Lady Miso,0,0,8,0,6789,18.60%,,,,
34,,BRUISER,Iramp,1,0,6,0,4594,16.28%,,,,
35,,HEALS,Ellwing,1,0,3,9351,1293,9.30%,,,,
36,,BRUISER,whayousayy,0,0,3,0,8099,6.98%,,,,
37,,QDPS,Draconixx,0,0,3,0,7449,6.98%,,,,
38,,HEALS,Hazy,0,0,2,15798,0,4.65%,,,,
39,,QDPS,Pocahontts,0,0,4,0,6360,9.30%,,,,
40,,HEALS,Sassafras,0,0,4,15336,0,9.30%,,,,
41,,DISRUPTOR,xLAMAx,1,0,6,0,1878,16.28%,,,,
42,,DEX,Recurve,0,0,2,0,6354,4.65%,,,,
43,,VG/IG,Arya Inyet,0,0,8,0,2381,18.60%,,,,
44,,,PBFTempest,0,0,2,0,5236,4.65%,,,,
45,,BRUISER,OldManGamin,0,0,8,0,2044,18.60%,,,,
46,,TANK,CPH Money,0,0,6,0,2958,13.95%,,,,
47,,DISRUPTOR,CrabPicker,1,0,5,0,734,13.95%,,,,
48,,DISRUPTOR,Zooob,20,0,2,0,0,51.16%,,,,
49,,HEALS,Melokore,0,0,0,0,0,0.00%,,,,
50,,TANK,Me99999,0,9,65,44929,310929,41.94%,,,,
