Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,9,DISRUPTOR,EVERYONE STEP,11,0,106,0,1457579,59.39%,Mercguards,CovenantEG,win,yes,,,,,,,,,,
2,1,HEALS,Anoula,0,4,40,2620957,139202,20.30%,,,,,,,,,,,,,,
3,6,QDPS,x Statpad,8,0,93,0,1324325,51.27%,,,,,,,,,,,,,,
4,8,FIRESTAFF,mommi,5,2,77,0,1313501,41.62%,,,,,,,,,,,,,,
5,5,QDPS,Volarus,5,2,95,0,1306345,50.76%,,,,,,,,,,,,,,
6,1,BRUISER,EDM BRUISER,2,1,83,36,1230119,43.15%,,,,,,,,,,,,,,
7,4,QDPS,JCHAP,13,1,59,0,1157521,36.55%,,,,,,,,,,,,,,
8,7,FIRESTAFF,Anvbis,4,1,72,5678,1123979,38.58%,,,,,,,,,,,,,,
9,6,BRUISER,UNLUCKY,10,0,76,0,1129954,43.65%,,,,,,,,,,,,,,
10,10,DEX,fml,11,0,70,0,1117097,41.12%,,,,,,,,,,,,,,
11,2,QDPS,Only Bruiser,6,2,81,0,1036065,44.16%,,,,,,,,,,,,,,
12,5,BRUISER,Absurdity,2,2,87,0,1040639,45.18%,,,,,,,,,,,,,,
13,10,DEX,lostintokyo,10,1,56,0,1013375,33.50%,,,,,,,,,,,,,,
14,6,HEALS,Guzy875,0,0,37,1823114,26428,18.78%,,,,,,,,,,,,,,
15,6,BRUISER,DAZBEE,2,2,81,0,844181,42.13%,,,,,,,,,,,,,,
16,4,DISRUPTOR,Diablo,9,1,57,7114,781206,33.50%,,,,,,,,,,,,,,
17,4,BRUISER,HISS HISS,6,3,66,958,769319,36.55%,,,,,,,,,,,,,,
18,6,QDPS,LeefRx,6,0,49,0,722513,27.92%,,,,,,,,,,,,,,
19,3,BRUISER,Totally Not DRE,3,1,79,2331,718991,41.62%,,,,,,,,,,,,,,
20,5,BRUISER,adamnuo,3,5,53,0,717919,28.43%,,,,,,,,,,,,,,
21,3,QDPS,Disruptur,11,2,70,0,689386,41.12%,,,,,,,,,,,,,,
22,3,BRUISER,Psalm 11,4,2,64,0,692319,34.52%,,,,,,,,,,,,,,
23,8,DISRUPTOR,Anom4ly,4,2,70,0,658719,37.56%,,,,,,,,,,,,,,
24,2,QDPS,Recurve,7,3,55,0,651246,31.47%,,,,,,,,,,,,,,
25,2,HEALS,dead weight,0,1,35,1259788,38275,17.77%,,,,,,,,,,,,,,
26,4,BRUISER,Grav N Spins,4,5,52,0,634418,28.43%,,,,,,,,,,,,,,
27,5,HEALS,Carolina Starr,0,1,37,1224733,32941,18.78%,,,,,,,,,,,,,,
28,9,HEALS,Mitosann,1,2,37,1130803,47851,19.29%,,,,,,,,,,,,,,
29,2,BRUISER,SilverElement1,1,5,61,1290,570113,31.47%,,,,,,,,,,,,,,
30,2,BRUISER,Yo Nature,4,6,52,0,548647,28.43%,,,,,,,,,,,,,,
31,5,VG/IG,Pradix,1,3,72,8980,522010,37.06%,,,,,,,,,,,,,,
32,7,HEALS,Sassafras,0,1,27,1030384,15936,13.71%,,,,,,,,,,,,,,
33,7,DISRUPTOR,Bunzbunz,8,3,44,0,477242,26.40%,,,,,,,,,,,,,,
34,10,HEALS,I Pocket U,0,2,23,955482,28271,11.68%,,,,,,,,,,,,,,
35,9,DISRUPTOR,Killa Farmer,6,0,70,0,505127,38.58%,,,,,,,,,,,,,,
36,1,HEALS,Plucky,0,1,47,895392,40553,23.86%,,,,,,,,,,,,,,
37,3,HEALS,TheFrontLine,0,3,35,905033,23380,17.77%,,,,,,,,,,,,,,
38,8,HEALS,Im His Guac,0,2,27,911114,19474,13.71%,,,,,,,,,,,,,,
39,9,DISRUPTOR,Leli,8,1,70,0,436113,39.59%,,,,,,,,,,,,,,
40,4,HEALS,Ellwing,0,2,43,832018,35932,21.83%,,,,,,,,,,,,,,
41,7,VG/IG,Dynastinae,4,3,56,5425,418817,30.46%,,,,,,,,,,,,,,
42,9,DISRUPTOR,Triple x Agent,7,2,54,0,407902,30.96%,,,,,,,,,,,,,,
43,7,DISRUPTOR,Luna-TerraLulu,5,2,34,0,405531,19.80%,,,,,,,,,,,,,,
44,10,DISRUPTOR,ImTempest,4,3,46,0,389226,25.38%,,,,,,,,,,,,,,
45,8,DISRUPTOR,CHUCK2,1,3,82,6415,375207,42.13%,,,,,,,,,,,,,,
46,3,HEALS,ur fine,0,1,28,639827,43278,14.21%,,,,,,,,,,,,,,
47,10,DISRUPTOR,Omega Det God,0,5,36,0,303143,18.27%,,,,,,,,,,,,,,
48,1,TANK,CP Money,1,0,84,0,189915,43.15%,,,,,,,,,,,,,,
49,1,FLAIL,Baguettttte,0,5,68,46030,161947,34.52%,,,,,,,,,,,,,,
50,8,DISRUPTOR,Zooob,0,5,41,0,197649,20.81%,,,,,,,,,,,,,,
