Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,2,QDPS,VelkhanaSummer,13,3,131,0,3021152,54.14%,Mercguards,Bountiful Harvest,win,yes,1,1,HEALS,eboy oumae,0,2,61,5862666,502310,29.05%
2,1,HEALS,Anoula,0,3,61,5209765,192895,22.93%,,,,,2,3,QDPS,BeanyBaby,7,2,100,0,2185734,50.95%
3,3,QDPS,Buster,9,5,139,0,2315975,55.64%,,,,,3,8,FS/X,Fresh Start,9,3,96,0,1925318,50.00%
4,4,QDPS,Only Bruiser,5,2,132,0,2237071,51.50%,,,,,4,7,FS/X,KevDog,8,2,51,0,1842687,28.10%
5,8,FS/X,DJSwimpyMan,7,4,109,0,1759138,43.61%,,,,,5,1,BRUISER,ConsoleBowFan,4,9,61,0,1800492,30.95%
6,4,BRUISER,Injury,12,5,111,3996,1723777,46.24%,,,,,6,6,QDPS,Succulent,13,7,60,0,1575267,34.76%
7,6,QDPS,Scorpion Diff,12,4,70,251,1718684,30.83%,,,,,7,6,BRUISER,OhMyGourd,13,5,93,0,1551560,50.48%
8,3,BRUISER,Bar God,7,2,91,1713,1585651,36.84%,,,,,8,2,QDPS,Zercules,10,4,61,0,1510416,33.81%
9,6,BRUISER,Grassy,5,4,106,754,1579020,41.73%,,,,,9,3,BRUISER,Grav N Spins,5,5,77,0,1456016,39.05%
10,3,BRUISER,8InchesNFloppy,3,4,99,0,1463694,38.35%,,,,,10,5,BRUISER,I miss bed,4,9,75,0,1450152,37.62%
11,2,BRUISER,Knickerr,9,4,113,1476,1483123,45.86%,,,,,11,6,BRUISER,Dutch Hammer,6,9,77,0,1436754,39.52%
12,4,BRUISER,cwestlove,2,5,101,0,1426853,38.72%,,,,,12,10,DEX,GUA0,3,7,53,0,1385315,26.67%
13,5,BRUISER,TheActualBobRoss,7,3,123,1007,1354518,48.87%,,,,,13,4,BRUISER,Nerd,4,8,87,0,1351750,43.33%
14,1,BRUISER,Who Mite Dat Be,1,5,127,2555,1352616,48.12%,,,,,14,1,BRUISER,DoubleAgent1,1,5,98,0,1279105,47.14%
15,5,BRUISER,Moneyyyy,4,7,99,914,1360658,38.72%,,,,,15,5,BRUISER,jno,3,9,59,0,1281143,29.52%
16,2,BRUISER,Psalm 11,15,5,111,5809,1321711,47.37%,,,,,16,5,QDPS,Recurve,6,2,76,0,1250086,39.05%
17,3,QDPS,eeKong,19,8,70,0,1250480,33.46%,,,,,17,8,HEALS,VivalieRising,0,2,56,2308579,99356,26.67%
18,5,QDPS,Isaiah,14,7,69,8239,1205095,31.20%,,,,,18,2,BRUISER,Wigggles,3,8,82,0,1245266,40.48%
19,9,DEX,Kheer is my son,8,3,69,0,1281427,28.95%,,,,,19,3,BRUISER,Daniele Bregoli,2,4,82,0,1229640,40.00%
20,10,DEX,Popasus,13,1,52,0,1111801,24.44%,,,,,20,4,BRUISER,Tucker,4,5,85,0,1197198,42.38%
21,6,BRUISER,Shield Rush,7,3,125,0,1058376,49.62%,,,,,21,4,QDPS,Zuv,9,2,64,0,1187394,34.76%
22,1,HEALS,dead weight,0,3,72,1970808,107108,27.07%,,,,,22,5,QDPS,SoFreshSonu,7,4,72,0,1171930,37.62%
23,7,DISRUPTOR,Jayce Jackson,18,4,51,7458,1111782,25.94%,,,,,23,2,BRUISER,Nizzo,6,9,64,0,1071539,33.33%
24,6,HEALS,AllMadd52,0,4,55,1874281,90756,20.68%,,,,,24,4,QDPS,Adam Guns Upp,9,2,70,0,1058027,37.62%
25,10,DISRUPTOR,OfSeamlezz,7,6,81,4597,1028599,33.08%,,,,,25,3,HEALS,Yung Noodle,0,2,70,1861620,131387,33.33%
26,7,DISRUPTOR,beta,7,2,61,0,929962,25.56%,,,,,26,8,DISRUPTOR,GENETICA DIFF,13,4,78,0,1015510,43.33%
27,8,HEALS,Bweezin,0,5,37,1792266,46732,13.91%,,,,,27,9,VG/IG,Ser Duoglas,10,8,69,13774,1027421,37.62%
28,7,HEALS,Triple x Agent,1,3,27,1852368,12141,10.53%,,,,,28,9,DISRUPTOR,Smoothee-.Jr,11,4,69,0,973483,38.10%
29,9,DISRUPTOR,Killa Farmer,13,4,54,14377,1118537,25.19%,,,,,29,9,HEALS,Doc Mommy,0,3,27,1903789,51785,12.86%
30,8,DISRUPTOR,Zooob,3,8,74,10426,867685,28.95%,,,,,30,10,DISRUPTOR,Sunberg,5,6,39,0,976242,20.95%
31,3,HEALS,EnchantingFlame,0,3,51,1707063,32826,19.17%,,,,,31,9,DISRUPTOR,Bot Left Point,4,8,62,111697,928144,31.43%
32,10,DISRUPTOR,Aldrak,5,6,49,0,873669,20.30%,,,,,32,8,VG/IG,UNKNOWN_1,6,4,90,19709,863540,45.71%
33,10,DISRUPTOR,Ionbuster,8,4,56,0,802129,24.06%,,,,,33,6,HEALS,pegame,0,3,56,1551135,128170,26.67%
34,9,DISRUPTOR,Luna-TerraLulu,8,7,79,0,841643,32.71%,,,,,34,10,DISRUPTOR,Don't Peel 4 Me,11,5,34,0,845426,21.43%
35,4,HEALS,BlessYourHeart,0,5,66,1412229,62784,24.81%,,,,,35,5,HEALS,BadAtThis,0,4,38,1552463,53645,18.10%
36,9,HEALS,x stats,0,4,28,1515768,28687,10.53%,,,,,36,1,HEALS,On Me Here,0,3,31,1556042,42698,14.76%
37,8,VG/IG,Anom4ly,5,3,102,15505,684767,40.23%,,,,,37,10,HEALS,VixKo,0,4,23,1422707,57976,10.95%
38,3,VG/IG,Lady Miso,0,10,89,6374,736761,33.46%,,,,,38,8,DISRUPTOR,HENO,1,8,55,0,694915,26.67%
