Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1,
1,1,HEALS,dead weight,0,3,47,6305891,556615,26.11%,Bountiful Harvest,Mercguards,loss,yes,1,1,HEALS,eboy oumae,1,4,87,4925454,454981,29.53%,
2,4,QDPS,i dont like this,9,3,105,0,3071702,63.33%,,,,,2,4,FSX,BeanyBaby,5,1,152,0,2411411,52.68%,
3,8,FS/X,x Statpad,7,2,65,0,1987149,40.00%,,,,,3,7,FSX,Dynodoug,13,2,103,0,2290983,38.93%,
4,5,BRUISER,Not DRE,5,6,106,3932,1856228,61.67%,,,,,4,1,BRUISER,ConsoleBowFan,6,3,128,3670,2118684,44.97%,
5,2,BRUISER,Bar God,3,4,91,1144,1663396,52.22%,,,,,5,8,FSX,Fresh Start,9,5,88,0,1954656,32.55%,
6,2,QDPS,Reported Guy,18,2,78,0,1640145,53.33%,,,,,6,8,DISRUPTOR,Saoibhe,10,1,90,0,1744955,33.56%,
7,6,BRUISER,TheActualBobRoss,3,8,76,0,1481957,43.89%,,,,,7,5,BRUISER,Dutch Hammer,11,7,110,0,1733061,40.60%,
8,2,QDPS,LeefRx,14,4,73,0,1474099,48.33%,,,,,8,3,BRUISER,EnoughKel,4,6,110,814,1667398,38.26%,
9,4,BRUISER,Injury,7,5,87,0,1413749,52.22%,,,,,9,3,BRUISER,danielzzz,11,7,93,0,1650372,34.90%,
10,9,DISRUPTOR,Scorpion Diff,11,3,39,0,1379126,27.78%,,,,,10,5,BRUISER,OhMyGourd,7,3,118,2086,1541738,41.95%,
11,6,QDPS,mommi,3,6,59,0,1355770,34.44%,,,,,11,4,BRUISER,jno,9,4,135,0,1527946,48.32%,
12,6,BRUISER,Psalm 11,5,10,55,0,1300832,33.33%,,,,,12,1,BRUISER,Playoff Pendy,7,5,107,1880,1639948,38.26%,
13,9,DEX,Kheer is my son,7,1,69,0,1386816,42.22%,,,,,13,6,BRUISER,Daniele Bregoli,9,4,134,0,1497429,47.99%,
14,3,QDPS,Ekong,11,8,68,0,1225689,43.89%,,,,,14,2,QDPS,Recurve,16,4,65,0,1487187,27.18%,
15,1,BRUISER,Derrick Rose,4,7,61,1439,1189186,36.11%,,,,,15,2,BRUISER,Wiggles,6,3,127,4911,1454938,44.63%,
16,3,BRUISER,DoubleAgent1,2,10,86,0,1172618,48.89%,,,,,16,6,QDPS,Zercules,14,0,72,0,1448090,28.86%,
17,7,DISRUPTOR,Nicobaby,9,6,32,0,1187462,22.78%,,,,,17,3,QDPS,Adam Guns Upp,5,1,95,0,1427581,33.56%,
18,3,BRUISER,SilverElement1,6,8,83,1311,1130134,49.44%,,,,,18,10,DEX,GUAO,9,2,79,0,1394084,29.53%,
19,2,BRUISER,Hahhtorii,1,12,65,4591,1078756,36.67%,,,,,19,4,FSX,II DEMON II,4,7,108,98518,1290662,37.58%,
20,8,HEALS,Bweezin,0,6,21,2000627,50046,11.67%,,,,,20,4,BRUISER,Tucker,12,6,111,2208,1555569,41.28%,
21,5,HEALS,DreamuTeamu,0,3,56,1740492,125876,31.11%,,,,,21,2,BRUISER,Nizzo,8,6,102,310,1376288,36.91%,
22,1,HEALS,cam1,0,4,50,1730866,96935,27.78%,,,,,22,5,BRUISER,GrassyKnollTV,10,5,126,1074,1159995,45.64%,
23,3,HEALS,Panda212,0,4,45,1811177,53552,25.00%,,,,,23,5,HEALS,pegame,0,3,68,2090054,109174,22.82%,
24,2,HEALS,Colby Jr.,0,7,56,1505148,193546,31.11%,,,,,24,9,VG/IG,Ser Duoglas,6,8,60,10781,1142297,22.15%,
