Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,0,23,5865121,184366,23.23%,Castle of Prim,Mercguards,loss,yes
2,4,QDPS,II BOB ROSS II,4,3,44,0,2193116,48.48%,,,,
3,4,BRUISER,icecreamsogood,3,4,48,0,1779680,51.52%,,,,
4,6,QDPS,Velkhana'sSummer,3,5,28,0,1747402,31.31%,,,,
5,6,BRUISER,GrassyKnollTV,1,3,39,0,1721452,40.40%,,,,
6,3,QDPS,TyreektheGOD,5,3,40,0,1629587,45.45%,,,,
7,4,BRUISER,TheActualBobRoss,2,6,42,0,1622147,44.44%,,,,
8,2,BRUISER,Who Dat Be,2,4,36,0,1578006,38.38%,,,,
9,5,BRUISER,Bar God,2,5,36,0,1463934,38.38%,,,,
10,1,BRUISER,Psalm 11,4,7,40,0,1439452,44.44%,,,,
11,6,BRUISER,Primus Framming,4,7,33,0,1372816,37.37%,,,,
12,2,QDPS,Kheer is my son,5,1,32,0,1291419,37.37%,,,,
13,1,HEALS,TheFrontLine,0,4,30,2459593,57836,30.30%,,,,
14,3,HEALS,Mewtoo,0,2,13,2421074,56211,13.13%,,,,
15,5,QDPS,Pepega69,4,3,33,0,1215481,37.37%,,,,
16,10,DEX,Ariii,6,2,21,0,1200035,27.27%,,,,
17,2,BRUISER,Me99999,3,12,25,0,1212843,28.28%,,,,
18,5,HEALS,unit 00,0,3,11,2168007,64525,11.11%,,,,
19,5,BRUISER,Shield Rush,2,5,31,0,1131031,33.33%,,,,
20,4,HEALS,pegame,0,3,22,2109980,42657,22.22%,,,,
21,8,FS/X,DjSwimpyMan,1,6,37,0,1082322,38.38%,,,,
22,4,VG/IG,II DEMON II,1,4,41,35011,1019175,42.42%,,,,
23,7,HEALS,GIRL,0,3,16,2027148,21789,16.16%,,,,
24,3,QDPS,LeFayPendragon,3,7,20,0,1021536,23.23%,,,,
25,3,BRUISER,SilverElement1,0,10,25,0,990987,25.25%,,,,
26,10,DEX,GPorp,4,4,16,0,947351,20.20%,,,,
27,2,VG/IG,FreezingMyAzoth,0,10,33,17437,933739,33.33%,,,,
28,6,VG/IG,Not Beau Nerrs,0,10,32,15474,893880,32.32%,,,,
29,3,BRUISER,Yo Nature,2,11,25,0,877839,27.27%,,,,
30,6,HEALS,Ellwing,0,5,13,1685387,37926,13.13%,,,,
31,2,HEALS,Plucky,0,5,14,1659962,28718,14.14%,,,,
32,9,DISRUPTOR,Luna-TerraLulu,2,6,22,0,846616,24.24%,,,,
33,8,HEALS,Bweezin,0,7,13,1660368,24957,13.13%,,,,
34,10,DISRUPTOR,OfSeamlezz,5,6,15,0,832975,20.20%,,,,
35,8,VG/IG,An0maly,4,4,33,17305,826256,37.37%,,,,
36,9,DISRUPTOR,Stun Bot,3,4,27,0,818852,30.30%,,,,
37,8,DISRUPTOR,Zooob,2,7,36,28459,794030,38.38%,,,,
38,5,VG/IG,Owndit,0,10,28,16527,683521,28.28%,,,,
39,7,DISRUPTOR,Simp4Heals,5,9,13,0,710092,18.18%,,,,
40,10,DISRUPTOR,Aldrak,3,3,17,0,612956,20.20%,,,,
41,10,HEALS,Im His Guac,0,6,8,1180068,12833,8.08%,,,,
42,9,HEALS,x stats,0,9,16,1053481,11175,16.16%,,,,
43,8,DISRUPTOR,Briizyn,7,6,26,0,516784,33.33%,,,,
44,9,DISRUPTOR,Spear,4,10,17,0,501357,21.21%,,,,
45,7,DISRUPTOR,PocketJacks,0,13,20,5539,487633,20.20%,,,,
46,9,VG/IG,Kryee,1,9,24,20524,460702,25.25%,,,,
47,7,DISRUPTOR,Dynastinae,0,8,29,3894,454716,29.29%,,,,
48,7,DISRUPTOR,Retired Arc,2,6,14,0,413377,16.16%,,,,
49,1,FLAIL,ASMR MELEE,0,7,35,48114,272897,35.35%,,,,
50,1,TANK,Dianafire,0,7,35,0,215892,35.35%,,,,
