Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,2,QDPS,Pestilenced,2,2,83,0,2377181,47.75%,Mercguards,Company Culture,loss,yes,1,,,emo oumae,0,2,40,4821544,291776,20.51%
2,1,HEALS,Anoula,0,0,60,4404674,184259,33.71%,,,,,2,,,Duog,17,4,69,0,1913226,44.10%
3,5,QDPS,Only Bruiser,10,5,62,0,2221273,40.45%,,,,,3,,,TyreektheGAWD,5,1,87,0,1809828,47.18%
4,3,QDPS,Jitch,4,3,79,0,2185073,46.63%,,,,,4,,,WelfareFen,10,0,68,0,1582650,40.00%
5,1,QDPS,NotWorkd,9,4,75,0,2046987,47.19%,,,,,5,,,joy,9,3,95,0,1525756,53.33%
6,8,FS/X,mommi,3,3,50,0,1945293,29.78%,,,,,6,,,F3AR,8,2,74,0,1529845,42.05%
7,4,QDPS,JCHAP,11,3,55,0,1695605,37.08%,,,,,7,,,Lonesword-2,7,3,65,0,1494625,36.92%
8,3,QDPS,EVERYONE STEP,11,9,63,0,1619472,41.57%,,,,,8,,,Teach me sensei,10,8,33,0,1322702,22.05%
9,5,BRUISER,ryoolas,5,4,66,0,1602302,39.89%,,,,,9,,,Earth Go Hard,0,3,36,2531688,44715,18.46%
10,6,QDPS,Buster,11,3,62,976,1544276,41.01%,,,,,10,,,Wigglemov,3,6,96,0,1217974,50.77%
11,7,FS/X,Wolfmando,4,4,49,0,1548747,29.78%,,,,,11,,,GUA0,8,4,48,0,1223419,28.72%
12,2,BRUISER,X AE SR-71,0,5,71,0,1468669,39.89%,,,,,12,,,Absurdityy,8,4,81,0,1203180,45.64%
13,2,BRUISER,Totally Not DRE,3,4,65,0,1432999,38.20%,,,,,13,,,grippy socks,8,3,90,20298,1150386,50.26%
14,1,BRUISER,Cali Mae,6,2,80,0,1256757,48.31%,,,,,14,,,Thaean,13,3,41,0,1104504,27.69%
15,5,BRUISER,Waldo,4,4,75,918,1196857,44.38%,,,,,15,,,pegame,0,0,38,2209950,28791,19.49%
16,4,BRUISER,Not Prince,5,6,70,214,1142996,42.13%,,,,,16,,,eeu,4,3,90,0,1083587,48.21%
17,4,BRUISER,HISS HISS,8,7,71,0,1062193,44.38%,,,,,17,,,theFlamaBlanca,0,3,21,2196517,14817,10.77%
18,6,BRUISER,fella in paris,4,5,84,0,1062996,49.44%,,,,,18,,,McdonaldsSprite,4,5,94,0,1064411,50.26%
19,3,BRUISER,Psalm 11,5,7,53,0,1070239,32.58%,,,,,19,,,KelYRN,10,6,85,0,1046730,48.72%
20,9,DISRUPTOR,Scorpion Diff,5,7,53,5327,1035403,32.58%,,,,,20,,,Gourd,3,6,89,0,1021850,47.18%
21,9,DEX,1StepCloser,5,3,50,0,1022772,30.90%,,,,,21,,,The Magician,3,4,98,17612,1000129,51.79%
22,10,HEALS,VivalieRising,0,1,26,1956726,25251,14.61%,,,,,22,,,pressed,0,1,35,1983933,32583,17.95%
23,10,DEX,Recurve,9,3,51,0,947701,33.71%,,,,,23,,,Kirtaap,0,1,32,1997020,18444,16.41%
24,7,HEALS,Sassafras,0,4,10,1895633,39530,5.62%,,,,,24,,,Cough,4,4,69,0,985019,37.44%
25,2,HEALS,dead weight,0,2,51,1707295,108539,28.65%,,,,,25,,,DITTO,3,3,59,0,943366,31.79%
26,3,BRUISER,SilverElement1,3,6,65,529,909237,38.20%,,,,,26,,,Sponqy,8,4,53,0,903875,31.28%
27,7,DISRUPTOR,Armor Breaker,4,5,34,14401,915003,21.35%,,,,,27,,,Smoothee.-Jr,10,5,65,26259,876562,38.46%
28,5,VG/IG,Beau Nerrs,0,5,88,8165,835844,49.44%,,,,,28,,,VJ.Tucker,1,6,81,0,899737,42.05%
29,6,HEALS,her,0,1,41,1579120,64570,23.03%,,,,,29,,,Senior,1,6,92,0,887911,47.69%
30,4,HEALS,Guzy875,0,1,34,1605053,44473,19.10%,,,,,30,,,Grav N Spins,4,4,86,0,829372,46.15%
31,8,HEALS,Im His Guac,0,0,38,1552012,56760,21.35%,,,,,31,,,Bunz,5,3,58,0,838398,32.31%
32,7,DISRUPTOR,beta,4,5,17,0,816202,11.80%,,,,,32,,,Selkiera,0,1,49,1541505,63652,25.13%
33,5,HEALS,Magnolia Starr,0,2,43,1482528,64679,24.16%,,,,,33,,,Zuv,5,4,41,0,816014,23.59%
