Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,,,Buster,43,3,119,0,2079505,30.28%,Mercguards,Death is Inevitable,win,yes,1,,,ebarbs,27,11,36,0,1832173,55.26%
2,,,mommi,33,0,100,0,1600559,24.86%,,,,,2,,,goblin barrel,12,6,43,0,1668145,48.25%
3,,,Tokenz,23,4,99,0,1342366,22.80%,,,,,3,,,Sleep Aid,16,1,35,0,1330160,44.74%
4,,,OnIce,40,2,147,0,1175951,34.95%,,,,,4,,,Kvothe86,1,19,22,0,1172337,20.18%
5,,,Guzy875,15,3,128,0,1144054,26.73%,,,,,5,,,LeefRx,6,7,27,0,1038189,28.95%
6,,,Zooob,17,1,105,0,981630,22.80%,,,,,6,,,mindsport,0,18,9,1392883,118196,7.89%
7,,,Anoula,0,0,85,1831575,110411,15.89%,,,,,7,,,build.gradle,1,6,25,0,790485,22.81%
8,,,hoonjxizzle,17,2,190,729,916836,38.69%,,,,,8,,,AstarOn,0,5,13,1244662,12262,11.40%
9,,,Luna-TerraLulu,16,8,66,0,966405,15.33%,,,,,9,,,Alex Rubio,0,5,30,872045,137218,26.32%
10,,,Vestner,15,5,120,0,928904,25.23%,,,,,10,,,FS Hysteria,14,2,34,0,522249,42.11%
11,,,fella in paris,15,6,90,15071,812212,19.63%,,,,,11,,,Doctor Reloaded,2,14,25,15438,504271,23.68%
12,,,Phoenix46394,10,0,113,0,787918,22.99%,,,,,12,,,Restricted Guy,0,5,19,1027170,5089,16.67%
13,,,Hahttorii,28,0,136,0,691565,30.65%,,,,,13,,,Jooek,1,6,30,16266,553942,27.19%
14,,,TheActualBobRoss,21,8,105,0,706391,23.55%,,,,,14,,,Red Viper Oberyn,0,18,19,0,477403,16.67%
15,,,Conval,21,4,90,0,683798,20.75%,,,,,15,,,VRLind,0,7,21,814550,68518,18.42%
16,,,SilverElement1,21,2,130,0,616899,28.22%,,,,,16,,,XxSamanthaxX,2,25,11,0,483307,11.40%
17,,,Injury,17,0,76,0,643139,17.38%,,,,,17,,,def not pogey,1,3,10,0,421785,9.65%
18,,,Scorp Diff,20,1,78,0,583852,18.32%,,,,,18,,,SR71Oldman,0,17,5,1840,401140,4.39%
19,,,Animull,14,3,110,34101,566862,23.18%,,,,,19,,,Saint Iris,0,8,6,0,400170,5.26%
20,,,Yo Nature,16,4,126,1497,604189,26.54%,,,,,20,,,GueguelzinhaBR,1,19,11,0,391863,10.53%
21,,,PEakinGDdUK2112,11,2,123,0,551584,25.05%,,,,,21,,,BluBerryJack,0,18,15,1264,382712,13.16%
22,,,dead weight,3,2,71,961718,91020,13.83%,,,,,22,,,AzzKikr,1,15,9,3770,377895,8.77%
23,,,Beau Nerrs,10,4,84,0,572465,17.57%,,,,,23,,,Busted Ravioli,0,22,8,0,381218,7.02%
24,,,Vitzkkj,8,6,91,0,547739,18.50%,,,,,24,,,NWChristo,2,13,21,1976,369265,20.18%
25,,,her,2,2,83,892016,90525,15.89%,,,,,25,,,ke123,4,10,32,2961,328491,31.58%
26,,,NotTali,11,4,115,9890,430968,23.55%,,,,,26,,,Angel-de-Verdun,2,5,20,116427,270467,19.30%
27,,,submissive,0,1,38,891363,42127,7.10%,,,,,27,,,xRedSibe,0,18,8,560411,46754,7.02%
28,,,SodaC4nSam,11,4,89,0,412035,18.69%,,,,,28,,,NervyKingWish,0,20,12,0,327329,10.53%
29,,,Raxios,13,2,84,0,388448,18.13%,,,,,29,,,Vye Lee,0,16,18,469333,63222,15.79%
30,,,Dynastinae,5,2,132,11714,376474,25.61%,,,,,30,,,Ghraleus,2,7,20,0,265276,19.30%
31,,,TheFrontLine,1,1,54,716530,21039,10.28%,,,,,31,,,Eloyhim Younger,0,23,17,3552,213176,14.91%
32,,,Killa Farmer,8,4,42,3485,365588,9.35%,,,,,32,,,MisTaKxN,1,5,11,0,199634,10.53%
33,,,DudeSavant,2,0,185,69503,272015,34.95%,,,,,33,,,Serena Salt III,0,18,9,226900,81935,7.89%
34,,,DAZBEE,10,1,56,0,332148,12.34%,,,,,34,,,CT-Rex,1,9,14,0,287604,13.16%
35,,,Tawakemono,3,0,36,624542,29969,7.29%,,,,,35,,,MomaJoy,0,23,4,0,160505,3.51%
36,,,DreamuTeamu,1,0,44,557700,24125,8.41%,,,,,36,,,Moon Skyewind,0,2,7,0,142551,6.14%
37,,,Ellwing,0,4,51,451424,34958,9.53%,,,,,37,,,CrashWhiteMagic,0,15,6,0,130074,5.26%
38,,,Owndit,3,1,45,343594,117253,8.97%,,,,,38,,,Padme12,0,10,9,0,120899,7.89%
39,,,CP Money,1,2,103,0,122202,19.44%,,,,,39,,,Cusetown,0,8,6,0,95543,5.26%
40,,,,,,,,,,,,,,40,,,Estellise,1,23,4,0,77666,4.39%
41,,,,,,,,,,,,,,41,,,HuntforBran,0,10,3,0,47899,2.63%
42,,,,,,,,,,,,,,42,,,Sickened,0,13,1,0,36174,0.88%
43,,,,,,,,,,,,,,43,,,CantNerfMe2,0,0,4,0,18249,3.51%
44,,,,,,,,,,,,,,44,,,Witguywitgun,0,0,0,0,0,0.00%
45,,,,,,,,,,,,,,45,,,,,,,,,
46,,,,,,,,,,,,,,46,,,,,,,,,
47,,,,,,,,,,,,,,47,,,,,,,,,
48,,,,,,,,,,,,,,48,,,,,,,,,
49,,,,,,,,,,,,,,49,,,,,,,,,
50,,,,,,,,,,,,,,50,,,,,,,,,
