Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP,Defender,Attacker,Result,Full,,,,,,,,
1,1,HEALS,dead weight,0,0,98,6940888,441289,36.84%,Mercguards,K6,win,yes,,,,,,,,
2,5,QDPS,Velkhana'sSummer,11,2,118,5928,3854742,48.50%,,,,,,,,,,,,
3,3,QDPS,Only Bruiser,13,1,134,0,3035566,55.26%,,,,,,,,,,,,
4,4,BRUISER,Injury,8,2,115,793,2048866,46.24%,,,,,,,,,,,,
5,4,QDPS,x Statpad,9,1,142,0,1953632,56.77%,,,,,,,,,,,,
6,8,FS/X,DjSwimpyMan,7,6,100,0,1840187,40.23%,,,,,,,,,,,,
7,3,BRUISER,8InchesNFloppy,7,5,97,864,1752579,39.10%,,,,,,,,,,,,
8,3,BRUISER,Bar God,4,5,108,0,1656083,42.11%,,,,,,,,,,,,
9,2,BRUISER,Who Mite Dat Be,6,1,122,4881,1670874,48.12%,,,,,,,,,,,,
10,2,BRUISER,Me99999,9,8,79,1970,1599070,33.08%,,,,,,,,,,,,
11,6,BRUISER,Psalm 11,8,2,122,1169,1530785,48.87%,,,,,,,,,,,,
12,6,BRUISER,Brando,9,3,123,1129,1506287,49.62%,,,,,,,,,,,,
13,1,BRUISER,iFord,5,5,109,12897,1441380,42.86%,,,,,,,,,,,,
14,4,BRUISER,Shield Rush,6,5,110,576,1369384,43.61%,,,,,,,,,,,,
15,5,BRUISER,Yo Nature,3,6,94,2158,1344059,36.47%,,,,,,,,,,,,
16,7,DISRUPTOR,Sweezy,22,2,68,19584,1296468,33.83%,,,,,,,,,,,,
17,3,HEALS,unit 00,0,5,63,2443988,91750,23.68%,,,,,,,,,,,,
18,8,DISRUPTOR,Zooob,15,5,58,30246,1240220,27.44%,,,,,,,,,,,,
19,10,DEX,Popasus,12,2,63,0,1224528,28.20%,,,,,,,,,,,,
20,9,DISRUPTOR,LeFayPendragon,7,7,57,0,1236430,24.06%,,,,,,,,,,,,
21,8,VG/IG,II DEMON II,8,3,116,31236,1047706,46.62%,,,,,,,,,,,,
22,6,VG/IG,Not Beau Nerrs,1,2,142,25060,994917,53.76%,,,,,,,,,,,,
23,5,BRUISER,SilverElement1,7,9,93,3088,1063499,37.59%,,,,,,,,,,,,
24,2,QDPS,Kheer is my son,9,2,77,0,1063697,32.33%,,,,,,,,,,,,
25,10,DISRUPTOR,bunny,5,2,68,0,1059871,27.44%,,,,,,,,,,,,
26,6,DEX,Adam is my name,10,3,73,0,983816,31.20%,,,,,,,,,,,,
27,4,VG/IG,VG IG,2,1,139,18717,914204,53.01%,,,,,,,,,,,,
28,9,DISRUPTOR,Luna-TerraLulu,10,8,39,0,958045,18.42%,,,,,,,,,,,,
29,3,VG/IG,Lady Miso,2,7,113,0,821952,43.23%,,,,,,,,,,,,
30,10,DISRUPTOR,Ionbuster,8,2,57,0,920469,24.44%,,,,,,,,,,,,
31,6,HEALS,TheFrontLine,0,2,60,1700709,71918,22.56%,,,,,,,,,,,,
32,5,HEALS,Ellwing,0,3,36,1743550,53356,13.53%,,,,,,,,,,,,
33,4,HEALS,Panda212,2,1,77,1644604,75567,29.70%,,,,,,,,,,,,
34,10,DISRUPTOR,Sub0,14,2,73,0,895807,32.71%,,,,,,,,,,,,
35,2,VG/IG,Faye Tal,1,3,133,71056,831089,50.38%,,,,,,,,,,,,
36,2,HEALS,Plucky,0,2,58,1642171,83750,21.80%,,,,,,,,,,,,
37,7,DISRUPTOR,PBFTempest,6,9,45,0,871163,19.17%,,,,,,,,,,,,
38,10,HEALS,Im His Guac,0,3,33,1536687,188493,12.41%,,,,,,,,,,,,
39,7,DISRUPTOR,Retired Arc,6,4,52,0,951863,21.80%,,,,,,,,,,,,
40,7,VG/IG,Dynastinae,1,7,77,10819,726856,29.32%,,,,,,,,,,,,
41,1,HEALS,Ex2c,1,1,37,1393188,49273,14.29%,,,,,,,,,,,,
42,9,HEALS,x stats,0,6,25,1393112,42142,9.40%,,,,,,,,,,,,
43,5,HEALS,BlessYourHeart,0,2,57,1188379,100254,21.43%,,,,,,,,,,,,
44,8,HEALS,Bweezin,0,5,52,1236540,69039,19.55%,,,,,,,,,,,,
45,9,DISRUPTOR,whayousayy,2,11,33,0,668994,13.16%,,,,,,,,,,,,
46,8,DISRUPTOR,Briizyn,6,5,80,0,661575,32.33%,,,,,,,,,,,,
47,9,DISRUPTOR,Spear,3,9,44,8972,644826,17.67%,,,,,,,,,,,,
48,7,HEALS,NickyUwU,0,10,26,1186320,20849,9.77%,,,,,,,,,,,,
49,1,TANK,CP Money,0,0,132,1883,423803,49.62%,,,,,,,,,,,,
50,1,FLAIL,Pocahontits,1,5,111,39158,269196,42.11%,,,,,,,,,,,,
