Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,1,87,7182659,220829,23.29%,Mercguards,K6,win,yes
2,6,QDPS,Anvbis,21,2,129,0,3028761,65.75%,,,,
3,2,BRUISER,Brando,9,2,157,5018,2318613,47.26%,,,,
4,8,FS/X,ZaddySimpy,12,4,123,0,2317220,58.22%,,,,
5,4,BRUISER,TheActualBobRoss,20,2,163,290,2062642,51.37%,,,,
6,6,BRUISER,Prime Framming,12,4,140,0,1866446,23.97%,,,,
7,1,BRUISER,TunaReformed,12,6,121,1151,1870459,50.00%,,,,
8,4,BRUISER,Psalm 11,9,7,133,492,1805300,46.58%,,,,
9,4,QDPS,Tyreek,10,4,95,0,1812479,36.99%,,,,
10,3,BRUISER,Shield Rush,9,6,120,0,1770481,47.95%,,,,
11,6,BRUISER,Grassy,11,4,136,515,1733107,18.49%,,,,
12,5,BRUISER,SilverElement1,6,8,121,6018,1657879,41.78%,,,,
13,3,BRUISER,Chloe Bonbon,9,6,118,2282,1640650,21.23%,,,,
14,7,FS/X,PocahontIts,9,5,52,0,1963889,50.00%,,,,
15,2,QDPS,Papi Fuego,2,7,91,0,1615886,21.23%,,,,
16,5,QDPS,TaintyApe,3,5,93,0,1473012,38.36%,,,,
17,2,BRUISER,Castle of ill,7,6,124,1280,1298642,23.97%,,,,
18,5,BRUISER,Yo Nature,5,7,127,665,1385775,41.78%,,,,
19,3,HEALS,Ex2c,0,1,83,2312784,141270,7.53%,,,,
20,5,VG/IG,Owndit,2,5,154,38411,1086969,39.73%,,,,
21,5,HEALS,RosePetals,0,4,51,2166192,89548,27.40%,,,,
22,6,VG/IG,IsThatBeauNerrs,2,3,164,46067,973396,37.67%,,,,
23,4,HEALS,BlessYourHeart,0,4,84,1936104,69232,21.92%,,,,
24,1,HEALS,unit 00,0,4,55,1997207,44897,13.70%,,,,
25,8,DISRUPTOR,Zooob,9,7,78,34566,992082,13.70%,,,,
26,6,HEALS,Ellwing,1,3,70,1920924,58726,28.08%,,,,
27,3,QDPS,LF ABG,3,7,47,6105,1007327,41.78%,,,,
28,9,VG/IG,Kryee,4,1,135,28600,918721,45.21%,,,,
29,10,DISRUPTOR,Spongy,16,5,67,0,908456,19.86%,,,,
30,10,DEX,Primey1,5,8,34,0,952201,39.04%,,,,
31,4,VG/IG,Faye Tal,4,4,141,101447,804998,49.32%,,,,
32,8,HEALS,Bweezin,0,3,56,1730159,38601,21.23%,,,,
33,2,HEALS,Plucky,0,4,75,1608326,65293,35.62%,,,,
34,2,QDPS,Kheer is my son,5,1,64,0,846054,29.45%,,,,
35,9,DISRUPTOR,Luna-TerraLulu,5,7,38,0,852367,43.15%,,,,
36,8,VG/IG,An0maly,1,3,134,6605,757372,30.82%,,,,
37,7,DISRUPTOR,PocketJacks,2,5,49,8741,794329,48.63%,,,,
38,7,DISRUPTOR,whayousayy,4,7,54,0,801589,41.78%,,,,
39,10,DEX,Porpoised,3,3,54,0,797250,8.22%,,,,
40,7,HEALS,ImpactVolts,2,3,31,1388283,213186,11.64%,,,,
41,9,HEALS,Sassafras,0,5,30,1385920,48704,17.12%,,,,
42,10,DISRUPTOR,Retired Arc,3,2,63,0,677038,16.44%,,,,
43,10,HEALS,dead weight,0,6,23,1245280,35399,14.38%,,,,
44,1,FLAIL,iFord,2,2,164,77743,439956,18.49%,,,,
45,3,HEALS,EnchantingFlame,0,2,33,1052664,19797,39.04%,,,,
46,8,DISRUPTOR,KeepYurselfSafe,4,11,48,0,615067,6.16%,,,,
47,1,TANK,CPH Money,1,2,186,27,404146,13.01%,,,,
48,9,DISRUPTOR,TheAwesomest,1,5,51,0,413927,26.71%,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
