Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,3,44,6189800,209903,28.39%,Midnight,Mercguards,loss,yes
2,8,FSX,ZaddySimpy,6,5,93,0,2357663,63.87%,,,,
3,1,BRUISER,TheActualBobRoss,9,9,75,0,1998963,54.19%,,,,
4,4,BRUISER,TunaReformed,7,11,59,0,1857168,42.58%,,,,
5,2,BRUISER,Grassy,2,6,78,0,1844831,51.61%,,,,
6,2,CW,VartasPadded,1,10,62,0,1836163,40.65%,,,,
7,3,BRUISER,Brando,8,8,63,0,1669046,45.81%,,,,
8,2,BRUISER,Prime Framming,3,8,67,0,1669886,45.16%,,,,
9,6,BRUISER,Psalm 11,8,7,72,0,1619492,51.61%,,,,
10,4,BRUISER,Shield Rush,7,6,81,0,1549209,56.77%,,,,
11,5,QDPS,ebarbs,10,2,69,0,1523824,50.97%,,,,
12,5,BRUISER,SilverElement1,4,5,73,0,1508036,49.68%,,,,
13,5,HEALS,unit 00,0,5,23,2489334,47396,14.84%,,,,
14,3,BRUISER,Castle of ill,9,5,76,0,1163098,54.84%,,,,
15,6,HEALS,TheFrontLine,0,8,25,2296764,50638,16.13%,,,,
16,4,QDPS,Fe7on,5,6,42,0,1171787,30.32%,,,,
17,6,BRUISER,JeiPee,4,14,51,0,1122048,35.48%,,,,
18,10,DEX,Adam Guns Upp,7,1,47,0,1114272,34.84%,,,,
19,3,QDPS,Ekong,9,3,68,0,1089069,49.68%,,,,
20,10,DEX,Arii,5,6,19,0,1093427,15.48%,,,,
21,8,DISRUPTOR,Zooob,5,10,44,33401,1039612,31.61%,,,,
22,5,BRUISER,whayousayy,2,14,64,0,1048351,42.58%,,,,
23,5,VG/IG,VG IG,0,6,88,17708,1027703,56.77%,,,,
24,7,DEX,Primey1,7,4,51,0,1015316,37.42%,,,,
25,8,HEALS,LAMA,1,6,34,2006811,26169,22.58%,,,,
26,2,VG/IG,Lady Miso,0,7,84,7347,999214,54.19%,,,,
27,7,DISRUPTOR,EvilArisen 2.0,5,9,48,114515,919455,34.19%,,,,
28,3,HEALS,WeakSide,1,5,48,1557849,187694,31.61%,,,,
29,9,HEALS,Colby Jr.,0,5,21,1620337,55715,13.55%,,,,
30,7,DISRUPTOR,Draconicx,4,10,46,0,757794,32.26%,,,,
31,1,HEALS,Panda212,0,5,24,1457540,45521,15.48%,,,,
32,4,HEALS,EnchantingFlame,0,4,31,1413444,59259,20.00%,,,,
33,8,VG/IG,Anomaly,2,8,66,60127,711155,43.87%,,,,
34,6,QDPS,OfSeamlezzz,5,13,26,0,702567,20.00%,,,,
35,7,HEALS,Melokore,0,5,17,1336840,22300,10.97%,,,,
36,3,HEALS,Restricted Guy,1,1,27,1265657,38645,18.06%,,,,
37,2,HEALS,Ellwing,0,5,28,1264970,31899,18.06%,,,,
38,9,DISRUPTOR,InfinityCrystal,3,11,21,0,642533,15.48%,,,,
39,9,DISRUPTOR,Helga Longbottom,1,8,28,15271,582321,18.71%,,,,
40,9,DISRUPTOR,TheAwesomest,6,13,17,0,577881,14.84%,,,,
41,10,DISRUPTOR,LegendNoxasMarv,3,10,15,19256,573561,11.61%,,,,
42,6,VG/IG,Arya Inyet,0,12,62,3538,542979,40.00%,,,,
43,10,HEALS,Leaky1O7,0,7,16,1011081,55646,10.32%,,,,
44,7,VG/IG,t.r,0,5,59,9142,489153,38.06%,,,,
45,9,DISRUPTOR,CrabPicker,1,8,38,0,496031,25.16%,,,,
46,10,DISRUPTOR,shaftsIob,1,8,25,0,478820,16.77%,,,,
47,4,QDPS,SobaNoodles,3,9,20,0,463571,14.84%,,,,
48,1,FLAIL,CPH Money,0,5,79,0,371163,50.97%,,,,
49,8,DISRUPTOR,KeepYourselfSafe,0,7,47,0,350989,30.32%,,,,
50,1,TANK,Me99999,0,9,65,44929,310929,41.94%,,,,
