Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Anoula,0,0,51,3658104,157640,30.54%,Mercguards,OppoBon,win,no,1,,,emo oumae,0,3,42,"4,080,983","353,470",27.63%
2,8,FS/X,EVERYONE STEP,9,3,71,0,1755279,47.90%,,,,,2,,,Akilleys III,3,0,56,0,"1,594,129",38.82%
3,3,QDPS,Buster,10,2,86,0,1739715,57.49%,,,,,3,,,FireStaff OP,6,2,74,0,"1,420,776",52.63%
4,4,BRUISER,Not DRE,7,3,72,1280,1430342,47.31%,,,,,4,,,Teach me sensei,9,3,50,0,"1,352,950",38.82%
5,2,QDPS,JCHAP,15,4,37,0,1411756,31.14%,,,,,5,,,choke me papi,5,4,53,0,"1,370,482",38.16%
6,2,BRUISER,Psalm 11,2,5,59,1938,1418838,36.53%,,,,,6,,,Wendys FourFor4,3,2,46,0,"1,338,329",32.24%
7,7,FS/X,Pepega69,5,1,75,0,1328636,47.90%,,,,,7,,,grippy socks,7,5,61,"26,008","1,295,607",44.74%
8,1,QDPS,ION RUN IT,9,5,64,0,1337232,43.71%,,,,,8,,,JD Vannce,2,5,65,0,"1,108,987",44.08%
9,6,BRUISER,Injury,3,2,76,0,1295322,47.31%,,,,,9,,,Reformed guy,2,4,46,0,"1,085,344",31.58%
10,4,QDPS,Only Bruiser,2,3,63,0,1288496,38.92%,,,,,10,,,latina enjoyer,3,3,63,0,"1,069,936",43.42%
11,9,DISRUPTOR,Velkhana'sSummer,0,2,49,0,1222484,29.34%,,,,,11,,,Daniele Bregoli,3,6,52,0,"1,072,634",36.18%
12,5,BRUISER,DAZBEE,5,3,60,0,1156201,38.92%,,,,,12,,,I miss bed,3,2,56,0,"1,068,491",38.82%
13,6,BRUISER,HISS HISS,6,3,70,0,1221572,45.51%,,,,,13,,,GUA0,2,4,17,0,"1,078,720",12.50%
14,2,BRUISER,Hahttorii,8,2,70,0,1107004,46.71%,,,,,14,,,LeefRx,6,5,32,0,"1,040,851",25.00%
15,5,BRUISER,Guzy875,0,4,63,1810,1055012,37.72%,,,,,15,,,Rupp3rt,2,5,59,0,"1,031,604",40.13%
16,4,BRUISER,Anttrooper,1,3,70,0,1059258,42.51%,,,,,16,,,BADASS,3,4,58,0,"1,045,752",40.13%
17,3,BRUISER,SilverElement1,8,7,49,1768,1026999,34.13%,,,,,17,,,latina,0,1,39,"1,908,078","71,500",25.66%
18,3,BRUISER,Yo Nature,4,6,64,0,1028098,40.72%,,,,,18,,,Voydx,6,5,63,0,"973,142",45.39%
19,4,QDPS,Reported Guy,12,3,41,0,935300,31.74%,,,,,19,,,Jayt,5,6,56,0,"976,290",40.13%
20,4,HEALS,FALL BACK,0,1,52,1661572,60092,31.14%,,,,,20,,,SoFreshSonu,3,1,30,0,"1,012,999",21.71%
21,,HEALS,Disko,0,0,66,1316407,221766,39.52%,,,,,21,,,Valentina Starr,0,0,34,"1,748,643","80,038",22.37%
22,9,DEX,Conval,2,0,53,0,874515,32.93%,,,,,22,,,Xiaohu,3,4,53,"13,472","920,668",36.84%
23,6,QDPS,DjSwimpyMan,1,3,56,0,812008,34.13%,,,,,23,,,Zercules,8,3,43,0,"912,707",33.55%
24,10,DEX,x Statpad,4,0,46,0,795527,29.94%,,,,,24,,,oops I missed,6,4,59,0,"865,732",42.76%
25,1,BRUISER,iFord,3,3,58,5565,751112,36.53%,,,,,25,,,Chair Survivor,13,5,46,"26,937","820,833",38.82%
26,3,HEALS,Dads New Wife,0,2,42,1406595,54153,25.15%,,,,,26,,,MilkMeNow,0,2,38,"1,535,601","95,318",25.00%
27,6,VG/IG,Anom4ly,4,2,70,25872,715224,44.31%,,,,,27,,,JonathanElejalde,4,3,64,"15,625","810,858",44.74%
28,9,HEALS,ImpactVolts,0,1,27,1432088,43247,16.17%,,,,,28,,,Madmartigain,4,5,52,0,"808,394",36.84%
29,10,DISRUPTOR,Jayce Jackson,10,4,24,1730,704498,20.36%,,,,,29,,,Theraphosidae,0,1,42,"1,525,003","36,009",27.63%
30,3,VG/IG,Not Beau Nerrs,0,5,49,9749,723839,29.34%,,,,,30,,,BrookieBear,0,0,39,"1,508,640","43,066",25.66%
31,7,DISRUPTOR,Luna-TerraLulu,6,7,35,0,684580,24.55%,,,,,31,,,Heart,1,3,23,"1,510,912","30,144",15.79%
32,8,HEALS,Im His Guac,0,2,41,1265689,62846,24.55%,,,,,32,,,SayMyNameDaddy,0,1,33,"1,425,377","37,956",21.71%
33,10,HEALS,submissive,0,0,13,1374028,20185,7.78%,,,,,33,,,Recurve,3,2,36,0,"733,403",25.66%
34,9,DISRUPTOR,Scorp Diff,5,3,36,0,689454,24.55%,,,,,34,,,Self Inflicted,2,3,65,0,"713,824",44.08%
35,5,HEALS,TheFrontLine,0,4,31,1324621,32140,18.56%,,,,,35,,,Kirtaap,0,2,28,"1,350,471","48,201",18.42%
36,7,DISRUPTOR,Animull,3,7,34,28000,616946,22.16%,,,,,36,,,Take Care Bear,0,4,22,"1,365,368","29,224",14.47%
37,8,VG/IG,Dynastinae,2,4,64,10106,601283,39.52%,,,,,37,,,DougJudy,5,7,37,0,"655,426",27.63%
38,9,DISRUPTOR,lonbuster,5,2,43,0,606053,28.74%,,,,,38,,,xRhaego,3,3,18,0,"623,170",13.82%
39,2,FLAIL,DudeSavant,1,0,83,99956,511295,50.30%,,,,,39,,,Bic'd,1,2,45,"13,825","605,558",30.26%
40,10,DISRUPTOR,Omega Det God,3,2,30,0,575158,19.76%,,,,,40,,,VixKo,0,3,14,"1,199,946","25,199",9.21%
41,8,DISRUPTOR,ImTempest,6,3,59,0,548564,38.92%,,,,,41,,,Bowner Alert,4,4,19,"4,741","583,432",15.13%
42,7,HEALS,x stats,1,6,32,1078517,18773,19.76%,,,,,42,,,NW Degen,6,3,56,"16,920","499,053",40.79%
43,2,HEALS,EZ Target,0,2,27,1070800,19236,16.17%,,,,,43,,,Triple x Agent,6,3,35,0,"426,874",26.97%
44,10,DISRUPTOR,beta,2,5,22,0,541703,14.37%,,,,,44,,,Arraxi,1,6,30,0,"496,507",20.39%
45,5,DISRUPTOR,Disruptur,2,7,31,1572,519455,19.76%,,,,,45,,,deep inside,3,6,45,0,"397,192",31.58%
46,1,HEALS,Panda212,0,1,34,899739,45660,20.36%,,,,,46,,,Firebringer,0,5,57,"60,680","327,202",37.50%
47,6,HEALS,Ellwing,0,2,33,935197,26777,19.76%,,,,,47,,,ke123,4,4,27,0,"353,134",20.39%
48,8,DISRUPTOR,Zooob,0,2,53,0,411528,31.74%,,,,,48,,,GUSSTAVO,0,6,47,"74,518","279,037",30.92%
49,7,DISRUPTOR,Toofs,0,9,26,0,372503,15.57%,,,,,49,,,Scheep,1,3,62,0,"116,171",41.45%
50,1,TANK,CP Money,1,1,70,0,242516,42.51%,,,,,50,,,,,,,,,
