Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,3,VG/IG,Anvbis,10,2,84,4691,2495182,48.21%,Mercguards,PostDet,loss,yes,1,,,Ekong,13,2,103,0,3379477,49.57%
2,1,HEALS,Anoula,0,2,34,4555221,145356,17.44%,,,,,2,,,plz choke me,9,3,89,0,2598706,41.88%
3,5,QDPS,Only Bruiser,5,6,72,0,1862621,39.49%,,,,,3,,,pebbly peb,8,6,100,0,2340745,46.15%
4,4,QDPS,Buster,12,7,65,0,1747383,39.49%,,,,,4,,,Euguss,1,3,56,3772492,382344,24.36%
5,8,FS/X,x Statpad,3,0,80,0,1647830,42.56%,,,,,5,,,ebarbs,13,0,90,0,1867218,44.02%
6,7,FS/X,ION RUN IT,10,8,35,0,1642478,23.08%,,,,,6,,,xAlfredoSaucinx,15,4,66,0,1846425,34.62%
7,4,BRUISER,Injury,8,4,70,0,1548840,40.00%,,,,,7,,,Reformed guy,13,7,65,0,1806333,33.33%
8,10,DISRUPTOR,DaddyJD,10,2,49,0,1375507,30.26%,,,,,8,,,def not pogey,9,4,95,0,1705106,44.44%
9,1,HEALS,her,0,1,38,2488402,84830,19.49%,,,,,9,,,goblin barrel,14,4,65,0,1655302,33.76%
10,3,QDPS,mommi,2,9,34,0,1336103,18.46%,,,,,10,,,Absurdityy,1,2,97,0,1548086,41.88%
11,2,BRUISER,SilverElement1,11,7,66,715,1245265,39.49%,,,,,11,,,808s,7,4,107,0,1497371,48.72%
12,9,DISRUPTOR,MAMAMELO,10,7,36,0,1258664,23.59%,,,,,12,,,Zercules,9,2,78,0,1424381,37.18%
13,4,BRUISER,Not Prince,2,3,82,44,1161678,43.08%,,,,,13,,,Vinicent x,8,5,88,0,1413428,41.03%
14,5,BRUISER,DAZBEE,3,5,68,0,1156731,36.41%,,,,,14,,,Knickerr,5,7,102,0,1385444,45.73%
15,3,BRUISER,Psalm 11,6,5,57,712,1138287,32.31%,,,,,15,,,Teach me sensei,9,7,61,0,1315108,29.91%
16,9,DISRUPTOR,Scorp Diff,10,2,65,0,1097075,38.46%,,,,,16,,,Girl Healer,7,2,50,0,1322006,24.36%
17,2,BRUISER,Yo Nature,1,7,75,0,1102018,38.97%,,,,,17,,,Osiruss,8,2,77,0,1276456,36.32%
18,4,BRUISER,HISS HISS,2,10,60,0,1085554,31.79%,,,,,18,,,I miss bed,3,8,86,0,1205487,38.03%
19,3,BRUISER,Who Mite Dat Be,3,6,55,6148,1075346,29.74%,,,,,19,,,Moneyyyyy,5,8,71,0,1200186,32.48%
