Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Anoula,0,0,63,6935585,308476,27.04%,Mercguards,PostDet,win,yes,1,,,Reformed guy,8,2,69,0,3325808,50.33%
2,4,QDPS,NotWorkd,11,1,122,0,3102897,57.08%,,,,,2,,,EVERYONE STEP,11,5,87,0,3210205,64.05%
3,9,DEX,Injury,24,0,105,0,2661718,55.36%,,,,,3,,,Euguss,0,0,67,5461257,426783,43.79%
4,8,FS/X,x Statpad,10,1,139,0,2666878,63.95%,,,,,4,,,def not pogey,5,3,69,0,2889977,48.37%
5,3,QDPS,Velkhana'sSummer,9,2,119,1420,2646533,54.94%,,,,,5,,,Teach me sensei,12,6,63,0,2276561,49.02%
6,6,QDPS,Buster,17,2,101,1221,2629420,50.64%,,,,,6,,,Bowner Alert,8,7,47,0,2144799,35.95%
7,4,QDPS,JCHAP,10,1,103,0,2547718,48.50%,,,,,7,,,LeefRx,17,2,53,0,2099330,45.75%
8,2,QDPS,Spongy,15,0,97,0,2093105,48.07%,,,,,8,,,X AE SR-71,3,5,85,0,1865479,57.52%
9,7,FS/X,ION RUN IT,9,3,76,0,2081894,36.48%,,,,,9,,,Absurdity,2,3,91,0,1851811,60.78%
10,5,QDPS,Only Bruiser,3,6,91,0,2044028,40.34%,,,,,10,,,Popola,4,3,91,54340,1932669,62.09%
11,6,HEALS,her,0,0,67,3570186,190470,28.76%,,,,,11,,,ebarbs,9,4,65,0,1778492,48.37%
12,10,DEX,MAMAMELO,11,0,58,0,1718025,29.61%,,,,,12,,,Knickerr,6,2,86,0,1700621,60.13%
13,3,BRUISER,HISS HISS,7,4,88,193,1621673,40.77%,,,,,13,,,IIIIIIIIII,3,6,67,0,1641025,45.75%
14,1,QDPS,mommi,1,5,65,0,1643083,28.33%,,,,,14,,,Earth Go Hard,0,0,55,3066146,94727,35.95%
15,4,HEALS,Guzy875,0,0,49,3030591,72929,21.03%,,,,,15,,,Ebolda,2,4,93,0,1595036,62.09%
16,4,BRUISER,DAZBEE,4,0,108,388,1545319,48.07%,,,,,16,,,Not DRE,5,1,78,0,1580111,54.25%
17,3,BRUISER,Hunglong,1,7,79,2250,1511145,34.33%,,,,,17,,,any ping,0,0,50,2926619,83601,32.68%
18,6,BRUISER,latina enjoyer,6,3,110,1388,1466005,49.79%,,,,,18,,,GrassyKnollTV,3,6,77,0,1431973,52.29%
19,5,BRUISER,Rain,4,4,94,825,1413799,42.06%,,,,,19,,,plz choke me,1,6,77,0,1340110,50.98%
20,4,BRUISER,Not Prince,3,8,82,0,1422030,36.48%,,,,,20,,,Ellarya Starr,0,0,51,2518884,95008,33.33%
