Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Guzzy875,0,4,34,6823078,391180,23.29%,PostDet,MercGuards,loss,yes
2,6,QDPS,not viz,7,1,89,0,2365559,65.75%,,,,
3,8,FS/X,ZaddySimpy,6,2,63,0,2231890,47.26%,,,,
4,2,QDPS,|| BOB ROSS ||,11,3,74,0,1748546,58.22%,,,,
5,10,DISRUPTOR,Injury,8,3,67,0,1586379,51.37%,,,,
6,7,FS/X,Pocahontts,1,1,34,0,1383656,23.97%,,,,
7,6,BRUISER,GrassyKnollTV,6,3,67,0,1357388,50.00%,,,,
8,6,BRUISER,Primus Framming,2,6,66,185,1226561,46.58%,,,,
9,5,BRUISER,GMANG,4,11,50,1874,1223941,36.99%,,,,
10,10,QDPS,Adam is my name,11,4,59,0,1163657,47.95%,,,,
11,3,QDPS,Fe7on,1,9,26,0,1202851,18.49%,,,,
12,4,BRUISER,Anttrooper,3,6,58,1595,1073519,41.78%,,,,
13,5,QDPS,Papi Fuego,3,11,28,0,1071100,21.23%,,,,
14,2,QDPS,Ariii,10,0,63,0,1008241,50.00%,,,,
15,8,HEALS,Bweezin,0,7,31,1897113,86274,21.23%,,,,
16,8,VG/IG,Don't Peel 4 Me,2,5,54,14192,1030667,38.36%,,,,
17,5,BRUISER,XERRT.EXE,4,11,31,0,1004910,23.97%,,,,
18,1,BRUISER,HesDigginInMe,0,11,61,700,985717,41.78%,,,,
19,7,HEALS,ImpactVolts,1,4,10,1879686,50091,7.53%,,,,
20,10,DISRUPTOR,Isaiah,12,5,46,0,927075,39.73%,,,,
21,9,HEALS,Sassafras,0,5,40,1787854,48928,27.40%,,,,
22,2,BRUISER,SilverElement1,1,11,54,704,961161,37.67%,,,,
23,6,HEALS,Ellwing,0,5,32,1709471,51514,21.92%,,,,
24,10,HEALS,I'm In Shambles,0,1,20,1682179,46627,13.70%,,,,
25,3,HEALS,pegame,0,4,20,1541418,103897,13.70%,,,,
26,4,BRUISER,SmileyBill,1,10,40,277,831293,28.08%,,,,
27,8,DISRUPTOR,Briizyn,4,7,57,0,779752,41.78%,,,,
28,9,DISRUPTOR,BiS Seamlezz,7,10,59,0,727138,45.21%,,,,
29,3,BRUISER,Castle of ill,1,13,28,170,745911,19.86%,,,,
30,6,VG/IG,IsThatBeauNerrs,0,8,57,51312,707065,39.04%,,,,
31,8,VG/IG,DannyOhhaiyouu,1,6,71,70967,676738,49.32%,,,,
32,5,QDPS,Primey1,4,6,27,0,701548,21.23%,,,,
33,9,DISRUPTOR,Luna-TerraLulu,6,11,46,0,662829,35.62%,,,,
34,2,HEALS,Plucky,0,4,43,1216524,68925,29.45%,,,,
35,10,DEX,Sponqy,6,3,57,0,653990,43.15%,,,,
36,2,BRUISER,Yo Nature,2,12,43,4337,673268,30.82%,,,,
37,9,VG/IG,Kryee,2,9,69,20137,630955,48.63%,,,,
38,10,DEX,Jayce Jackson,11,3,50,0,717607,41.78%,,,,
39,7,DISRUPTOR,EvilArisen 2.0,1,10,11,0,627192,8.22%,,,,
40,5,HEALS,EnchantingFlame,0,11,17,1176769,35353,11.64%,,,,
41,4,HEALS,BlessYourHeart,0,11,25,1102284,60242,17.12%,,,,
42,1,HEALS,Panda212,0,7,24,1104759,50000,16.44%,,,,
43,7,VG/IG,Dynastinae,1,6,20,5236,567689,14.38%,,,,
44,3,QDPS,UNLUCKY,4,3,23,8577,538627,18.49%,,,,
45,4,VG/IG,Faye Tal,0,9,57,30895,511973,39.04%,,,,
46,7,DISRUPTOR,whayousayy,0,12,9,0,524166,6.16%,,,,
47,3,BRUISER,LeboGaming,1,16,18,1107,434370,13.01%,,,,
48,9,DISRUPTOR,TheAwesomest,1,14,38,0,401430,26.71%,,,,
49,1,TANK,CPH Money,0,2,76,0,343056,52.05%,,,,
50,1,FLAIL,TheActualBobRoss,0,6,59,14454,316666,40.41%,,,,
