Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,3,59,"5,357,305","207,979",23.60%,Mercguards,The Free Rangers,win,yes
2,2,FS/X,Papi Fuego,7,7,132,0,"2,469,577",55.60%,,,,yes
3,9,FS/X,Bork,12,1,120,0,"2,223,936",52.80%,,,,yes
4,1,BRUISER,TheActualBobRoss,7,7,98,"2,853","2,175,008",42.00%,,,,yes
5,4,BRUISER,Plz Choke Me,14,3,127,"2,069","2,084,294",56.40%,,,,yes
6,10,DEX,Fe7on,4,3,71,0,"1,999,188",30.00%,,,,yes
7,5,BRUISER,Tuna,9,6,87,0,"1,964,287",38.40%,,,,yes
8,6,BRUISER,hannsszz,8,1,134,"1,389","1,861,014",56.80%,,,,yes
9,2,BRUISER,Brando,16,5,107,794,"1,767,552",49.20%,,,,yes
10,4,BRUISER,token side her,3,3,127,0,"1,774,451",52.00%,,,,yes
11,4,QDPS,TaintyApe,6,4,114,0,"1,544,138",48.00%,,,,yes
12,4,QDPS,ZaddySimpy,5,8,69,0,"1,560,356",29.60%,,,,yes
13,2,CW,OldManGamin,9,6,57,0,"1,459,790",26.40%,,,,yes
14,3,BRUISER,SilverElement1,13,6,113,0,"1,362,165",50.40%,,,,yes
15,8,DISRUPTOR,Zooob,5,3,67,"17,572","1,274,893",28.80%,,,,yes
16,5,BRUISER,Hahttorii,4,7,88,0,"1,258,344",36.80%,,,,yes
17,10,DEX,Ariii,15,3,64,0,"1,229,751",31.60%,,,,yes
18,2,BRUISER,Yo Nature,6,6,87,"7,201","1,254,978",37.20%,,,,yes
19,3,BRUISER,Is ThatBeauNerrs,3,7,105,0,"1,244,984",43.20%,,,,yes
20,7,DISRUPTOR,EvilArisen 2.0,7,16,47,"45,027","1,167,989",21.60%,,,,yes
21,3,QDPS,ebarbs,8,6,86,0,"1,155,483",37.60%,,,,yes
22,6,VG/IG,VG IG,1,3,149,"16,167","1,124,038",60.00%,,,,yes
23,5,QDPS,Ekong,14,7,67,0,"1,124,357",32.40%,,,,yes
24,8,DISRUPTOR,InfinityCrystal,7,3,70,40,"1,132,799",30.80%,,,,yes
25,6,HEALS,unit 00,1,3,53,"2,152,946","71,764",21.60%,,,,yes
26,5,QDPS,VartasPadded,4,10,65,,"1,090,473",27.60%,,,,yes
27,8,VG/IG,||||||||||||||,8,2,89,"22,270","992,838",38.80%,,,,yes
28,6,BRUISER,whayousayy,2,7,101,954,"1,071,181",41.20%,,,,yes
29,8,HEALS,TheFrontLine,1,4,45,"1,978,178","114,809",18.40%,,,,yes
30,5,HEALS,EnchantingFlame,0,3,57,"2,014,955","80,149",22.80%,,,,yes
31,6,QDPS,Cheapo,5,10,30,0,"1,081,072",14.00%,,,,yes
32,8,DISRUPTOR,Lady Miso,6,10,74,0,"1,026,672",32.00%,,,,yes
33,9,DISRUPTOR,Luna-TerraLulu,6,6,66,0,"1,012,916",28.80%,,,,yes
34,9,VG/IG,Kryee,2,1,115,"12,035","941,004",46.80%,,,,yes
35,4,HEALS,SweetFeetGriffn,0,3,48,"1,725,945","100,374",19.20%,,,,yes
36,2,HEALS,Plucky,0,2,40,"1,659,597","100,087",16.00%,,,,yes
37,7,DISRUPTOR,Ikxhrus,7,6,50,0,"895,688",22.80%,,,,yes
38,7,HEALS,EnemyBonFire,0,2,40,"1,703,028","62,910",16.00%,,,,yes
39,7,DEX,Primey1,3,11,36,0,"889,669",15.60%,,,,yes
40,10,DISRUPTOR,Draconicx,9,11,32,0,"1,090,076",16.40%,,,,yes
41,3,HEALS,Ellwing,0,2,51,"1,613,144","70,881",20.40%,,,,yes
42,7,VG/IG,Dynastinae,2,4,82,"11,238","745,180",33.60%,,,,yes
43,3,VG/IG,Arya Inyet,0,7,112,"47,563","681,228",44.80%,,,,yes
44,9,DISRUPTOR,Helga Longbottum,7,2,82,"33,618","699,480",35.60%,,,,yes
45,1,HEALS,Panda212,0,5,36,"1,303,297","74,258",14.40%,,,,yes
46,10,DISRUPTOR,TheAwesomest,2,7,51,"14,162","700,964",21.20%,,,,yes
47,10,HEALS,GIRL,0,3,14,"1,327,655","46,605",5.60%,,,,yes
48,9,HEALS,Sassafras,0,4,40,"1,192,763","60,851",16.00%,,,,yes
49,1,TANK,Me99999,1,2,125,"83,435","494,625",50.40%,,,,yes
50,1,FLAIL,CPH Money,1,0,130,0,"423,661",52.40%,,,,yes
